Serial,gainV0, gainV1,gainV2,gainV3,gainv4,nomV
1,1260,1360,1460,1560,1660,1500
3,1390,1500,1610,1710,1820,1650
6,1290,1390,1490,1590,1690,1530
7,1290,1400,1500,1600,1700,1540
9,1380,1490,1600,1700,1810,1640
10,1360,1470,1580,1680,1790,1620
12,1660,1750,1830,1920,2000,1980
14,1440,1560,1670,1790,1900,1720
15,1440,1560,1670,1790,1900,1720
16,1640,1730,1820,1910,2000,1950
18,1430,1540,1650,1770,1880,1700
19,1370,1480,1590,1690,1800,1630
21,1650,1740,1830,1910,2000,1970
22,1310,1410,1520,1620,1720,1560
24,1500,1620,1740,1860,1980,1790
25,1370,1480,1590,1690,1800,1630
26,1600,1700,1800,1900,2000,1900
27,1560,1670,1780,1890,2000,1860
28,1440,1560,1670,1790,1900,1720
29,1440,1560,1670,1790,1900,1720
30,1630,1720,1810,1910,2000,1940
31,1590,1690,1790,1900,2000,1890
32,1310,1410,1520,1620,1720,1560
33,1430,1540,1650,1770,1880,1700
34,1390,1500,1610,1730,1840,1660
37,1440,1550,1660,1780,1890,1710
39,1430,1540,1650,1770,1880,1700
42,1650,1740,1830,1910,2000,1970
43,1620,1720,1810,1910,2000,1930
47,1340,1440,1550,1650,1760,1590
48,1430,1540,1650,1770,1880,1700
49,1290,1390,1490,1590,1690,1530
50,1290,1390,1490,1590,1690,1530
51,1180,1280,1370,1470,1560,1410
53,1350,1460,1570,1670,1780,1610
54,1370,1480,1590,1690,1800,1630
55,1450,1570,1680,1800,1910,1730
56,1410,1520,1630,1750,1860,1680
57,1440,1560,1670,1790,1900,1720
59,1310,1410,1520,1620,1720,1560
61,1340,1450,1560,1660,1770,1600
63,1450,1570,1680,1800,1910,1730
65,1620,1720,1810,1910,2000,1930
66,1530,1650,1760,1880,2000,1820
67,1420,1530,1640,1760,1870,1690
73,1550,1660,1770,1890,2000,1840
74,1530,1650,1760,1880,2000,1820
75,1580,1680,1790,1890,2000,1880
76,1560,1670,1780,1890,2000,1860
78,1640,1730,1820,1910,2000,1950
81,1650,1740,1830,1910,2000,1970
82,1410,1520,1630,1750,1860,1680
83,1350,1460,1570,1670,1780,1610
84,1290,1390,1490,1590,1690,1530
87,1490,1610,1730,1850,1970,1780
88,1320,1420,1530,1630,1740,1570
90,1320,1420,1530,1630,1740,1570
92,1540,1650,1770,1880,2000,1830
94,1570,1680,1790,1890,2000,1870
96,1510,1630,1750,1870,1990,1800
97,1410,1520,1630,1750,1860,1680
98,1290,1390,1490,1590,1690,1530
99,1460,1580,1690,1810,1920,1740
102,1390,1500,1610,1730,1840,1660
103,1440,1550,1660,1780,1890,1710
104,1350,1460,1570,1670,1780,1610
105,1340,1440,1550,1650,1760,1590
106,1210,1310,1400,1500,1590,1440
107,1130,1220,1310,1400,1490,1350
108,1180,1280,1370,1470,1560,1410
111,1210,1310,1400,1500,1590,1440
112,1550,1670,1780,1890,2000,1850
113,1180,1280,1370,1470,1560,1410
114,1240,1340,1440,1540,1640,1480
115,1300,1400,1510,1610,1710,1550
116,1100,1190,1270,1360,1450,1310
117,1100,1190,1270,1360,1450,1310
118,1570,1680,1790,1890,2000,1870
119,1140,1230,1320,1410,1500,1360
120,1080,1160,1250,1330,1420,1280
121,1230,1330,1430,1530,1630,1470
122,1080,1160,1250,1330,1420,1280
123,1100,1190,1270,1360,1450,1310
124,1100,1190,1270,1360,1450,1310
125,1600,1700,1800,1900,2000,1900
126,1370,1480,1590,1690,1800,1630
127,1140,1230,1320,1410,1500,1360
129,1350,1460,1570,1670,1780,1610
130,1390,1500,1610,1730,1840,1660
131,1260,1360,1460,1560,1660,1500
132,1160,1250,1340,1430,1530,1380
133,1080,1170,1250,1340,1430,1290
134,1030,1110,1200,1280,1360,1230
135,1130,1210,1300,1390,1480,1340
136,1260,1360,1460,1560,1660,1500
138,1110,1200,1280,1370,1460,1320
139,1270,1370,1470,1570,1670,1510
140,1280,1380,1480,1580,1680,1520
141,1200,1300,1390,1490,1580,1430
142,1230,1320,1420,1520,1610,1460
143,1100,1190,1270,1360,1450,1310
145,1420,1530,1640,1760,1870,1690
146,1370,1480,1590,1690,1800,1630
147,1250,1350,1450,1550,1650,1490
148,1100,1190,1270,1360,1450,1310
149,1280,1380,1480,1580,1680,1520
150,1040,1120,1210,1290,1370,1240
152,1080,1170,1250,1340,1430,1290
153,1070,1150,1240,1320,1400,1270
154,1170,1260,1350,1440,1540,1390
155,1290,1400,1500,1600,1700,1540
157,1070,1150,1240,1320,1400,1270
158,1080,1160,1250,1330,1420,1280
159,1080,1160,1250,1330,1420,1280
160,1410,1520,1630,1750,1860,1680
161,1110,1200,1280,1370,1460,1320
162,1130,1220,1310,1400,1490,1350
163,1180,1280,1370,1470,1560,1410
164,1080,1160,1250,1330,1420,1280
165,1130,1210,1300,1390,1480,1340
166,1150,1240,1330,1420,1510,1370
167,1290,1390,1490,1590,1690,1530
169,1220,1310,1410,1510,1600,1450
170,1300,1400,1510,1610,1710,1550
171,1350,1460,1570,1670,1780,1610
